# Newsky Schedule Export
# Airline: CPZ - Compass Atlantic
# Date: 2026-07-02 00:51z
#
# <- use hash to add comments.
# Remember to respect headers and proper CSV formatting!
# Empty airframes column with result in ALL available
#
# Start of CSV data:
number,dep,arr,type,duration,mon,tue,wed,thu,fri,sat,sun,airframes,active
1409,KATL,KRDU,pax,90,true,true,true,true,true,true,true,pax_m,true
1410,KRDU,KATL,pax,95,true,true,true,true,true,true,true,pax_m,true
1411,KATL,KMYR,pax,85,true,true,true,true,true,true,true,pax_m,true
1412,KMYR,KATL,pax,90,true,true,true,true,true,true,true,pax_m,true
1413,KATL,KGSP,pax,60,true,true,true,true,true,true,true,pax_m,true
1414,KGSP,KATL,pax,65,true,true,true,true,true,true,true,pax_m,true
1415,KATL,KAUS,pax,155,true,true,true,true,true,true,true,pax_m,true
1416,KAUS,KATL,pax,135,true,true,true,true,true,true,true,pax_m,true
1417,KATL,KMSY,pax,105,true,true,true,true,true,true,true,pax_m,true
1418,KMSY,KATL,pax,95,true,true,true,true,true,true,true,pax_m,true
1419,KATL,KSAN,pax,295,true,true,true,true,true,true,true,"pax_m,pax_xl",true
1420,KSAN,KATL,pax,245,true,true,true,true,true,true,true,"pax_m,pax_xl",true
190,KATL,SPJC,pax,390,true,true,true,true,true,true,true,pax_xl,true
191,SPJC,KATL,pax,395,true,true,true,true,true,true,true,pax_xl,true
1200,KIAD,KRDU,pax,45,true,true,true,true,true,true,true,pax_m,true
1201,KRDU,KIAD,pax,65,true,true,true,true,true,true,true,pax_m,true
1203,KIAD,KSFO,pax,310,true,true,true,true,true,true,true,"pax_m,pax_xl",true
1204,KSFO,KIAD,pax,255,true,true,true,true,true,true,true,"pax_m,pax_xl",true
1205,KIAD,KEWR,pax,110,true,true,true,true,true,true,true,pax_m,true
1206,KEWR,KIAD,pax,130,true,true,true,true,true,true,true,pax_m,true
299,KIAD,SBGR,pax,555,true,true,true,true,true,true,true,pax_xl,true
298,SBGR,KIAD,pax,565,true,true,true,true,true,true,true,pax_xl,true
297,KIAD,LLBG,pax,635,true,true,true,true,true,true,true,pax_xl,true
296,LLBG,KIAD,pax,735,true,true,true,true,true,true,true,pax_xl,true
